folder,header,first_page
7100-15,"UNITED STATES DISTRICT COURT
MIDDLE DISTRICT OF FLORIDA
Jacksonville Division
U.S. COMMODITY FUTURES
TRADING COMMISSION,
Plaintiff,
v. Case No. 3:15-cv-5-J-34MCR
ALLIED MARKETS LLC,
JOSHUA GILLILAND, and
CHAWALIT WONGKHIAOQO,
Defendants.
ORDER GRANTING PLAINTIFF’S EX PARTE
MOTION FOR STATUTORY RESTRAINING ORDER AND SCHEDULING
PRELIMINARY INJUNCTION HEARING","THIS CAUSE is before the Court on Plaintiff's Ex Parte Motion for Statutory
Restraining Order and Motion for Preliminary Injunction (Doc. S-4; Motion), filed on
January 5, 2015. Simultaneously with the Motion, the United States Commodity Futures
Trading Commission (Plaintiff or CFTC) filed a Complaint for Injunctive Relief, Civil
Monetary Penalty, and Other Equitable Relief (Doc. S-3) against Defendants Allied Markets
LLC, Joshua Gilliland, and Chawalit Wongkhiao (collectively, Defendants). In the Motion,
the CFTC moves, pursuant to Section 6c(a) of the Commodity Exchange Act (CEA), 7
U.S.C. § 13a-1(a) (2012), for an ex parte statutory restraining order freezing assets and
prohibiting the destruction of books, records, or other documents; and for an order requiring
Defendants to show cause why a preliminary injunction should not issue."
7102-15,"Case 1:13-cv-05755-NLH-JS Document 12 Filed 12/30/14 Page 1 of 39 PagelD: 244
UNITED STATES DISTRICT COURT
DISTRICT OF NEW JERSEY
UNITED STATES COMMODITY FUTURES
TRADING COMMISSION,
Plaintiff, Civil No. 13-5755 (NLH/JS)
Vv. FINAL ORDER OF DEFAULT
JUDGMENT AS TO DEFENDANTS
MICHAEL J. SIEGEL, et al., MICHAEL J. SIEGEL, TOTE
FUND LLC AND MJS CAPITAL
Defendants. MANAGEMENT LLC
HILLMAN, District Judge","On September 27, 2013, the Commodity Futures Trading
Commission (hereafter, “Commission”) filed a complaint against
Defendants Michael J. Siegel, TOTE Fund LLC (hereafter, “TOTE”)
and MJS Capital Management LLC (hereafter, “MJS”) seeking
injunctive and other equitable relief, as well as the imposition
of restitution and civil monetary penalties, for violations of
the Commodity Exchange Act, as amended (“Act”), 7 U.S.C. 8§ 1 et
seg. (2002), and the Commission’s Regulations promulgated
thereunder, 17 C.F.R. § 1 et seg. (2004).
Defendants failed to respond to the complaint, and the
Commission thus requested a Clerk’s entry of default on January
31, 2014. Thereafter, Defendants having failed to seek to
vacate the entry of default, the Commission filed the present"
7103-15,"(— RECEIVED CFTC >
UNITED STATES OF AMERICA
Before the
COMMODITY FUTURES TRADING COMMISSION
Proceedings Clerk
\ 10:19 am, Jan 16, a,
In the Matter of:
Summit Energy Services, Inc.,
CFTC Docket No. 15 - 12
Respondent.
Nee” Seon See” nee ee” ee” ee”
ORDER INSTITUTING PROCEEDINGS PURSUANT TO
SECTIONS 6(c) AND 6(d) OF THE COMMODITY EXCHANGE ACT, MAKING
FINDINGS AND IMPOSING REMEDIAL SANCTIONS
I.","The Commodity Futures Trading Commission (“Commission”) has reason to believe that
from in or about October 2012 to September 25, 2014 (the “Relevant Period”), Summit Energy
Services, Inc. (“Summit Energy” or “Respondent”) violated Section 4m(1) of the Commodity
Exchange Act, as amended (the “Act”). Therefore, the Commission deems it appropriate and in
the public interest that public administrative proceedings be, and hereby are, instituted to
determine whether Respondent engaged in the violations set forth herein and to determine
whether any order should be issued imposing remedial sanctions.
i.
In anticipation of the institution of an administrative proceeding, Respondent has
submitted an Offer of Settlement (“Offer”), which the Commission has determined to accept.
Without admitting or denying any of the findings or conclusions herein, Respondent consents to
the entry of this Order Instituting Proceedings Pursuant to Sections 6(c) and 6(d) of the
Commodity Exchange Act. as Amended, Making Findings and Imposing Remedial Sanctions
(“Order”) and acknowledges service of this Order.!
' Respondent consents to the entry of this Order and to the use of these findings in this
proceeding and in any other proceeding brought by the Commission or to which the Commission
is a party; provided, however, that Respondent does not consent to the use of the Offer, or the
findings or conclusions in this Order consented to in the Offer, as the sole basis for any other
proceeding brought by the Commission, other than in a proceeding in bankruptcy or to enforce
the terms of this Order. Nor does Respondent consent to the use of the Offer or this Order, or the
findings or conclusions in this Order consented to in the Offer. by any other party in any other
proceeding."
7104-15,"(— RECEIVED CFTC )
“by
UNITED STATES OF AMERICA
Before the
COMMODITY FUTURES TRADING COMMISSION
Proceedings Clerk
\ 12:22 pm, Jan 20, 2015 yy,
In the Matter of:
Olam International, Ltd. and
Olam Americas, Inc., CFTC Docket No. 15 - 13
Respondents.
ORDER INSTITUTING PROCEEDINGS PURSUANT TO
SECTIONS 6(c) AND 6(d) OF THE COMMODITY EXCHANGE ACT, AS AMENDED,
MAKING FINDINGS AND IMPOSING REMEDIAL SANCTIONS
I.","The Commodity Futures Trading Commission (“Commission”) has reason to believe that
Olam International, Ltd. (“Olam International”) and Olam Americas, Inc. (“Olam Americas”)
(collectively, “Respondents”) violated Section 4a(e) of the Commodity Exchange Act (“Act”),
7 ULS.C, § 6a(e) (2012), on seven trading days between February 2011 and August 2014; Section
Ac(a) of the Act, 7 U.S.C. § 6c(a) (2012), and Commission Regulation (“Regulation”) 1.38(a),
17 C.F.R. § 1.38(a) (2014), on sixty-four occasions between February 2011 and January 2013;
and Section 41 of the Act, 7 U.S.C. § 61 (2012), and Regulation 18.04, 17 C.FLR. § 18.04 (2014).
Therefore, the Commission deems it appropriate and in the public interest that public
administrative proceedings be, and hereby are, instituted to determine whether Respondents
engaged in the violations set forth herein and to determine whether any order should be issued
imposing remedial sanctions.
I.
In anticipation of the institution of an administrative proceeding, Respondents have
submitted an Offer of Settlement (“Offer”), which the Commission has determined to accept.
Without admitting or denying any of the findings or conclusions herein, Respondents consent to
the entry of this Order Instituting Proceedings Pursuant to Sections 6(c) and 6(d) of the
Commodity Exchange Act, as Amended, Making Findings and Imposing Remedial Sanctions
(“Order”) and acknowledge service of this Order.
' Respondents consent to the entry of this Order and to the use of these findings in this proceeding and in
any other proceeding brought by the Commission or to which the Commission is a party; provided,
however, that Respondents do not consent to the use of the Offer, or the findings or conclusions in this
Order consented to in the Offer, as the sole basis for any other proceeding brought by the Commission,
other than in a proceeding in bankruptcy or to enforce the terms of this Order. Nor do Respondents"
7216-15,"(— RECEIVED CFTC \
UNITED STATES OF AMERICA
Before the
COMMODITY FUTURES TRADING COMMISSION
Proceedings Clerk
\ 11:56 am, Aug 19, 2019]
In the Matter of:
INTL FCStone Markets, LLC
CFTC Docket No. 15 —27
Respondent.
ORDER INSTITUTING PROCEEDINGS PURSUANT TO
SECTIONS 6(c) and 6(d) OF THE COMMODITY EXCHANGE ACT, MAKING
FINDINGS AND IMPOSING REMEDIAL SANCTIONS
1,","The Commodity Futures Trading Commission (“Commission”) has reason to believe that
since at least January 2013 through July 21, 2013 (the “Relevant Period”), INTL FCStone
Markets, LLC (“IFCS” or “Respondent’”) violated Commission Regulation (“Regulation”)
23.602, 17 C.F.R. § 23.602 (2014). Therefore, the Commission deems it appropriate and in the
public interest that public administrative proceedings be, and hereby are, instituted to determine
whether Respondent engaged in the violations as set forth herein and to determine whether any
order should be issued imposing remedial sanctions.
Il.
In anticipation of the institution of this administrative proceeding, Respondent has
submitted an Offer of Settlement (“Offer”), which the Commission has determined to accept.
Without admitting or denying any of the findings or conclusions herein, Respondent consents to
the entry of this Order Instituting Proceedings Pursuant to Sections 6(c) and 6(d) of the
Commodity Exchange Act, Making Findings and Imposing Remedial Sanctions (“Order”) and
acknowledges service of this Order,’
Respondent consents to the entry of this Order and to the use of these findings in this
proceeding and in any other proceeding brought by the Commission or to which the Commission
is a party; provided, however, that Respondent does not consent to the use of the Offer, or the
findings or conclusions in this Order consented to in the Offer, as the sole basis for any other
proceeding brought by the Commission, other than in a proceeding in bankruptcy or to enforce
the terms of this Order. Nor does Respondent consent to the use of the Offer or this Order, or the
findings or conclusions in this Order consented to in the Offer, by any other party in any other
proceeding."
7217-15,"Case: 1:08-cv-02410 Document #: 194 Filed: 08/11/15 Page 1 of 1 PagelD #:5117
IN THE UNITED STATES DISTRICT COURT
FOR THE
NORTHERN DISTRICT OF ILLINOIS
EASTERN DIVISION
Commodity Futures Trading
Commission
Plaintiff(s), Case No. 08 C 2410
Judge Charles P. Kocoras
V.
Sentinel Management Group, Inc., Eric A.
Bloom, and Charles K. Mosley,
Defendant(s).
ORDER","Motion hearing held. Plaintiff's motion for summary judgment against defendant Charles K.
Mosley [189] is granted. Judgment is entered against Defendant Mosley finding that Mosley
is liable for aiding and abetting Sentinel’s violations of Section 4d(b) of the Act, 7 U.S.C.
§ 6d(b) including, inter alia, commingling and misappropriating customer funds to finance
Sentinel’s proprietary trading, failing to treat and deal with customer funds as belonging to the
commodity customers, withdrawing customer segregated funds beyond Sentinel’s actual interest
therein and using them to collateralize its overnight loan with the Bank of New York. The court
enters the requested permanent injunction, including permanent trading and registration bans
against Defendant Mosley and order him to pay disgorgement in the amount of $551,000 and a
civil monetary penalty in the amount of $1,653,000.
0:05
Date: 8/11/2015 CL A Ore i ee ow
Charles P. Kocoras
United States District Court Judge"
7220-15,"IN THE UNITED STATES DISTRICT COURT
FOR THE EASTERN DISTRICT OF NORTH CAROLINA
WESTERN DIVISION
No. 5:14-CV-83-F
U.S. COMMODITY FUTURES TRADING
COMMISSION,
Plaintiff,
ORDER
RON EARL MCCULLOUGH and DAVID
CHRISTOPHER MAYHEW, also known as
v. )
MAHEW, )
Defendants.
This matter is before the court on Plaintiff U.S. Commodity Futures Trading
Commission’s (“CFTC”) Motion for Default Judgment [DE-26]. For the reasons stated below,
the motion is ALLOWED.
L PROCEDURAL HISTORY AND FINDINGS OF FACT""","This action arises out of fraudulent trading activity that Defendants David Christopher
Mayhew (“Mayhew”) and Ron Earl McCullough (“McCullough”) participated in both
individually and collectively. Between December 2008 and January 2012, the defendants
fraudulently solicited approximately 2.3 million dollars from at least eleven members of the
public. McCullough and Mayhew also used Travis Cox to both solicit funds from investors and
further their fraud. They represented to Cox that they were millionaires and that they had made
their money through foreign exchange, or “forex” trading. McCullough and Mayhew made
' These facts are taken from the Complaint and the Declarations regarding the Motion for Default
Judgment [DE-26] and the documents in support of the Plaintiff's Memorandum in Support of Motion for
Default Judgment [DE-27]. See Declarations [DE-28, -29, -30]; Exhibits [DE-34, -35, -36].
Case 5:14-cv-00083-F Document 37 Filed 08/14/15 Page 1 of 11"
7221-15,"UNITED STATES DISTRICT COURT
FOR THE MIDDLE DISTRICT OF TENNESSEE
U.S. Commodity Futures Trading
Commission,
Plaintiff,
Maverick Asset Management, LLC,
Rodney Scott Phelps and
Jason T. Castenir,
Defendants.
CIVIL CASE NO.
FILED UNDER SEAL
ORDER GRANTING
PLAINTIFF'S EX PARTE
EMERGENCY MOTION FOR
STATUTORY RESTRAINING
ORDER, EXPEDITED
DISCOVERY, ORDER TO
SHOW CAUSE REGARDING
PRELIMINARY
INJUNCTION, AND OTHER
EQUITABL RELIEF","Plaintiff, the Commodity Futures Trading Commission (“Commission”), has
filed a Complaint for Permanent Injunction and Other Relief and moved, pursuant
to Section 6c(a) of the Commodity Exchange Act (the “Act”), 7 U.S.C. § 13a-1(a)
(2012), for an ex parte statutory restraining order freezing assets, and ordering
Defendant to show cause why a preliminary injunction should not be issued. The
Court has considered the pleadings, declarations, exhibits, and memorandum filed
in support of the Commission’s request for a statutory restraining order, and finds
that:
1. This Court has jurisdiction over the parties and over the subject matter
of this action pursuant to Section 6c of the Act, 7 U.S.C. § 13a-1 (2012).
Case 3:15-cv-00828 Document il Filed 08/25/15 Page 1 of 15 Pageib # 498"
7222-15,"UNITED STATES OF AMERICA
Before the
COMMODITY FUTURES TRADING COMMISSION
Office of Proceedings
Proceedings Clerk
\ 3:56 pm, Sep 08, 2015 /
In the Matter of:
Forex Capital Markets, LLC,
CFTC Docket No. 15 —28
Respondent.
ORDER INSTITUTING PROCEEDINGS PURSUANT TO
SECTIONS 6(c) and 6(d) OF THE COMMODITY EXCHANGE ACT, MAKING
FINDINGS AND IMPOSING REMEDIAL SANCTIONS
I.","The Commodity Futures Trading Commission (“Commission”) has reason to believe that
from April 1, 2013, to July 10, 2013 (the “Relevant Period”), Forex Capital Markets, LLC
(“Respondent”) violated Sections 4g and 6(c) of the Commodity Exchange Act (the “Act’”) and
Commission Regulations (“Regulations”). Therefore, the Commission deems it appropriate and
in the public interest that public administrative proceedings be, and hereby are, instituted to
determine whether Respondent has engaged in the violations as set forth herein and to determine
whether any order should be issued imposing remedial sanctions.
IL.
In anticipation of the institution of this administrative proceeding, Respondent has
submitted an Offer of Settlement (“Offer”), which the Commission has determined to accept.
Without admitting or denying any of the findings or conclusions herein, Respondent consents to
the entry of this Order Instituting Proceedings Pursuant to Sections 6(c) and 6(d) of the
Commodity Exchange Act, Making Findings and Imposing Remedial! Sanctions (“Order”) and
acknowledges service of this Order.!
Respondent consents to the entry of this Order, and the use of these findings in this
proceeding and in any other proceeding brought by the Commission or to which the Commission
is a party provided, however, that Respondent does not consent to the use of the Offer, or the
findings or conclusions consented to in this Order, as the sole basis for any other proceeding
brought by the Commission, other than in a proceeding in bankruptcy or to enforce the terms of
this Order, Nor does Respondent consent to the use of the Offer or this Order, or the findings or
conclusions consented to in the Offer or this Order, by any other party in any other proceeding."
7231-15,"UNITED STATES OF AMERICA
Before the (—
COMMODITY FUTURES TRADING COMMISSION RECEIVED CFTC
In the Matter of:
Office of Proceedings
Proceedings Clerk
\ 1:58 pm, Sep 17, wy,
Coinflip, Inc., d/b/a Derivabit, and
Francisco Riordan, CFTC Docket No. 15-29
Respondents.
Nee Nee ee” ee ee” ee” SN”
ORDER INSTITUTING PROCEEDINGS PURSUANT TO
SECTIONS 6(c) AND 6(d) OF THE COMMODITY EXCHANGE ACT, MAKING
FINDINGS AND IMPOSING REMEDIAL SANCTIONS
I.","The Commodity Futures Trading Commission (“Commission”) has reason to believe that
from in or about March 2014 to at least August 2014 (the “Relevant Period”), Coinflip, Inc.,
d/b/a Derivabit (“Coinflip”) and Francisco Riordan (“Riordan”) (the “Respondents”) violated
Sections 4c(b) and 5h(a)(1) of the Commodity Exchange Act, as amended (the “Act”), 7 U.S.C.
§§ 6c(b) and 7b-3(a)(1) (2012), and Commission Regulations 32.2 and 37.3(a)(1), 17 C.F.R. §
32.2 and 37.3(a)(1) (2014). Therefore, the Commission deems it appropriate and in the public
interest that public administrative proceedings be, and hereby are, instituted to determine
whether the Respondents engaged in the violations set forth herein and to determine whether any
order should be issued imposing remedial sanctions.
Il.
In anticipation of the institution of an administrative proceeding, the Respondents have
submitted an Offer of Settlement (“Offer”), which the Commission has determined to accept.
Without admitting or denying any of the findings or conclusions herein, Respondents consent to
the entry of this Order Instituting Proceedings Pursuant to Sections 6(c) and 6(d) of the
Commodity Exchange Act, Making Findings and Imposing Remedial Sanctions (“Order”) and
acknowledge service of this Order.’
' Respondents consent to the entry of this Order and to the use of these findings in this proceeding and in any other
proceeding brought by the Commission or to which the Commission is a party; provided, however, that Respondents
do not consent to the use of the Offer, or the findings or conclusions in the Order consented to in the Offer, as the
sole basis for any other proceeding brought by the Commission, other than in a proceeding in bankruptcy or to
enforce the terms of this Order. Nor do Respondents consent to the use of the Offer or the Order, or the findings or
conclusions in this Order consented to in the Offer, by any other party in any other proceeding."
7232-15,"UNITED STATES OF AMERICA (— RECEIV
Before the eS
COMMODITY FUTURES TRADING COMMISSION
Office of Proceedings
) Proceedings Clerk
In the Matter of: ) 2:04 pm, Sep 17, 2015
) Ne TS)
Terry Lee Phillips, Phillips )
Investment & Trust LLC, and ) CFTC Docket No. 15-30
Corporate I Communications & )
Technology Inc., )
Respondents. )
ORDER INSTITUTING PROCEEDINGS PURSUANT TO
SECTIONS 6(c) AND 6(d) OF THE COMMODITY EXCHANGE ACT, MAKING
FINDINGS AND IMPOSING REMEDIAL SANCTIONS
I.","The Commodity Futures Trading Commission (“Commission”) has reason to believe that
from in or about October 2011 to at least March 2014 (the “Relevant Period”), Terry Lee Phillips
and his companies Phillips Investment & Trust LLC and Corporate I Communications &
Technology Inc. (collectively “Respondents”) violated Sections 4b(a)(1)(A)-(C) and
4o0(1)(A)-(B) of the Commodity Exchange Act (“CEA” or “Act”), 7 U.S.C. 88 6b(1)(2)(A)-(C),
60(1)(A)-(B). Therefore, the Commission deems it appropriate and in the public interest that
public administrative proceedings be, and hereby are, instituted to determine whether
Respondents engaged in the violations set forth herein and to determine whether any order
should be issued imposing remedial sanctions.
Il.
In anticipation of the institution of an administrative proceeding, Respondents have
submitted an Offer of Settlement (“Offer”), which the Commission has determined to accept.
Without admitting or denying any of the findings or conclusions herein, Respondents consent to
the entry of this Order Instituting Proceedings Pursuant to Sections 6(c) and 6(d) of the
Commodity Exchange Act, Making Findings and Imposing Remedial Sanctions (“Order”) and
acknowledge service of this Order.’
Respondents consent to the entry of this Order and to the use of these findings in this
proceeding and in any other proceeding brought by the Commission or to which the Commission
is a party; provided, however, that Respondents do not consent to the use of the Offer, or the
findings or conclusions in this Order consented to in the Offer, as the sole basis for any other
proceeding brought by the Commission, other than in a proceeding in bankruptcy or to enforce"
7233-15,"UNITED STATES OF AMERICA
Before the
COMMODITY FUTURES TRADING COMMISSIOT
Office of Proceedings
Proceedings Clerk
\ 2:13 pm, Sep 17, a,
In the Matter of
Australia and New Zealand CFTC Docket No. 15-31
Banking Group Ltd.,
Respondent.
A A a a a a 4 444
ORDER INSTITUTING PROCEEDINGS PURSUANT TO
SECTIONS 6(c) AND 6(d) OF THE COMMODITY EXCHANGE ACT,
MAKING FINDINGS AND IMPOSING REMEDIAL SANCTIONS
I.","The Commodity Futures Trading Commission (“Commission”) has reason to believe that
from at least March 1, 2013 through November 30, 2014 (the “Relevant Period”), Australia and
New Zealand Banking Group Ltd. (“ANZ” or “Respondent’”) violated Section 4s(f) of the
Commodity Exchange Act (the “Act”), 7 U.S.C. § 6s(f) (2012) and Commission Regulations
(“Regulations”) 20.4 and 20.7, 17 C.F.R §§ 20.4 and 20.7 (2014). Therefore, the Commission
deems it appropriate and in the public interest that public administrative proceedings be, and
hereby are, instituted to determine whether Respondent engaged in the violations set forth herein,
and to determine whether any order should be issued imposing remedial sanctions.
Il.
In anticipation of the institution of an administrative proceeding, Respondent has
submitted an Offer of Settlement (“Offer”), which the Commission has determined to accept.
Without admitting or denying any of the findings or conclusions herein, Respondent consents to
the entry of this Order Instituting Proceedings Pursuant to Sections 6(c) and 6(d) of the
Commodity Exchange Act, Making Findings and Imposing Remedial Sanctions (“Order”) and
acknowledges service of this Order.’
1 : : : : . .
Respondent consents to the entry of this Order and to the use of these findings in this proceeding and in any
other proceeding brought by the Commission or to which the Commission is a party; provided, however, that
Respondent does not consent to the use of the Offer or the findings or conclusions in this Order consented to in the
Offer, as the sole basis for any other proceeding brought by the Commission, other than a proceeding in bankruptcy
or to enforce the terms of this Order. Nor does Respondent consent to the use of the Offer or this Order, or the
findings or conclusions in this Order consented to in the Offer, by any other party in any other proceeding."
7235-15,"UNITED STATES OF AMERICA (— RECEIVED CFTC \
Before the
COMMODITY FUTURES TRADING COMMISSION
Proceedings Clerk
NS 2:17 pm, Sep 17, aw,
In the Matter of
Robert M. McMahon, CFTC Docket No. 15-32
Respondent.
Nee Nee ee ee” ee” ee” SN”
ORDER INSTITUTING PROCEEDINGS PURSUANT TO
SECTIONS 6(c) AND 6(d) OF THE COMMODITY EXCHANGE ACT
MAKING FINDINGS AND IMPOSING REMEDIAL SANCTIONS
I.","The Commodity Futures Trading Commission (“Commission”) has reason to believe that
in or about July 2010 (the “Relevant Period”), Robert M. McMahon (“McMahon” or
Respondent’) violated Sections 4b(a)(1)(A) and (C) of the Commodity Exchange Act (“CEA”
or “Act”), 7 U.S.C. § 6b(a)(1)(A) and (C). Therefore, the Commission deems it appropriate and
in the public interest that public administrative proceedings be, and hereby are, instituted to
determine whether Respondent engaged in the violations set forth herein and to determine
whether any order should be issued imposing remedial sanctions.
Il.
In anticipation of the institution of an administrative proceeding, Respondent has
submitted an Offer of Settlement (“Offer”), which the Commission has determined to accept.
Without admitting or denying any of the findings or conclusions herein, Respondent consents to
the entry of this Order Instituting Proceedings Pursuant to Sections 6(c) and 6(d) of the
Commodity Exchange Act Making Findings and Imposing Remedial Sanctions (“Order”) and
acknowledges service of this Order.’
' Respondent consents to the entry of this Order and to the use of these findings in this
proceeding and in any other proceeding brought by the Commission or to which the Commission
is a party; provided, however, that Respondent does not consent to the use of the Offer, or the
findings or conclusions in this Order consented to in the Offer, as the sole basis for any other
proceeding brought by the Commission, other than in a proceeding in bankruptcy or to enforce
the terms of this Order. Nor does Respondent consent to the use of the Offer or this Order, or the
1"
7240-15,"UNITED STATES OF AMERICA
Office of Proceedings
Before the Proceedings Clerk
COMMODITY FUTURES TRADING COMMISSION
\ 11:37 am, Sep 24, 2019]
CFTC Docket No. 15-33
In the Matter of:
ORDER INSTITUTING
PROCEEDINGS PURSUANT TO
SECTIONS 6(c) AND 6(d) OF THE
COMMODITY EXCHANGE ACT
MAKING FINDINGS AND
IMPOSING REMEDIAL
SANCTIONS
TeraExchange LLC,
Respondent.
Nene Newnes “ee ee”
I.","The Commodity Futures Trading Commission (“Commission’’) has reason to believe that
TeraExchange, LLC (‘Tera’), a provisionally registered swap execution facility (“SEF”), has
violated Section 5h(f)(2) of the Commodity Exchange Act (“Act”), 7 U.S.C. § 7b-3(1)(2) (2012),
and Commission Regulation (“Regulation’’) 37.203, 17 C.F.R. § 37.203 (2014). The
Commission, therefore, deems it appropriate and in the public interest that a public
administrative proceeding be, and hereby is, instituted to determine whether Tera engaged in the
violations set forth herein and to determine whether any order should be issued imposing
remedial sanctions.
Il.
In anticipation of the institution of an administrative proceeding, Tera has submitted an
Offer of Settlement (“Offer’’), which the Commission has determined to accept. Tera
acknowledges service of this Order Instituting Proceedings Pursuant to Sections 6(c) and 6(d) of
the Commodity Exchange Act, Making Findings and Imposing Remedial Sanctions (“Order”). '
' Tera consents to the entry of this Order, the use of these findings in this proceeding and
in any other proceeding brought by the Commission or to which the Commission is a party;
provided, however, that Tera does not consent to the use of the Offer, or the findings in this
Order consented to in the Offer, as the sole basis for any other proceeding brought by the
Commission, other than a proceeding in bankruptcy or to enforce the terms of this Order. Nor
does Tera consent to the use of the Offer or this Order, or the findings consented to in the Offer
or this Order, by any other party in any other proceeding."
